FECHA Y HORA,NUMERO DE IDENTIFICACION,NOMBRES,APELLIDOS,CELULAR,EMAIL,DIRECCION,COMPANIA,PROVINCIA,RESULTADO PRUEBA DE VIDA,RESULTADO DOCUMENT CHECK,RESULTADO FACEMATCH,RESULTADO BIOMETRIA
7/9/2024,7,Méthode,Weedon,505-113-0417,hweedon13@foxnews.com,969 Arkansas Circle,"Howell, Mueller and Murazik",Manabi,DESAPROBADO,APROBADO,0,DESAPROBADO
11/7/2024,5,Lèi,Dishman,143-943-9282,rdishman14@nymag.com,0387 Springs Point,Rempel LLC,Loja,APROBADO,APROBADO,99,APROBADO
7/29/2024,1,Naéva,Pither,216-503-5932,gpither15@state.gov,2 Doe Crossing Crossing,Becker LLC,Pichincha,APROBADO,APROBADO,99,APROBADO
5/28/2024,4,Adèle,Mosdill,233-357-4465,dmosdill16@etsy.com,3 Crowley Court,Johnson and Sons,Pichincha,APROBADO,APROBADO,99,APROBADO
7/10/2024,3,Françoise,Joly,527-652-1372,tjoly17@unc.edu,32 Bowman Court,"Kuhn, Gleichner and Auer",Loja,APROBADO,APROBADO,99,APROBADO
8/22/2024,1,Daphnée,MacCarter,811-966-2586,mmaccarter18@gov.uk,72 Forest Run Place,"Schinner, D'Amore and Koss",Guayas,APROBADO,APROBADO,99,APROBADO
4/8/2024,2,Laurène,Myton,939-617-2943,lmyton19@histats.com,988 Grasskamp Terrace,Schmeler-Pollich,Pichincha,APROBADO,APROBADO,99,APROBADO
8/18/2024,3,Ráo,Loudyan,810-122-3428,mloudyan1a@pcworld.com,33798 Russell Point,"Tremblay, Nienow and Von",Pichincha,APROBADO,APROBADO,99,APROBADO
3/19/2024,10,Méng,Oakshott,938-625-8777,doakshott1b@networksolutions.com,022 Service Street,Morissette-Ratke,Loja,APROBADO,APROBADO,96,APROBADO
4/4/2024,9,Yénora,Wilsher,381-436-1251,twilsher1c@sun.com,3634 Lighthouse Bay Alley,Rodriguez-Schowalter,Loja,APROBADO,APROBADO,99,APROBADO
10/20/2024,9,Eliès,Rowlson,618-291-6328,arowlson1d@cbc.ca,031 Prairie Rose Way,Parker-Predovic,Loja,DESAPROBADO,APROBADO,0,DESAPROBADO
5/9/2024,3,Nadège,Legendre,891-961-9922,elegendre1e@abc.net.au,8685 Jackson Way,Konopelski and Sons,Guayas,APROBADO,APROBADO,99,APROBADO
4/17/2024,8,Estée,Sproston,943-835-1534,bsproston1f@berkeley.edu,2592 Barby Terrace,Jenkins Inc,Guayas,APROBADO,DESAPROBADO,0,DESAPROBADO
12/9/2024,5,Rébecca,Szymanek,970-957-7920,gszymanek1g@jiathis.com,3990 Nelson Pass,Bogan Group,Azuay,APROBADO,APROBADO,99,APROBADO
4/1/2024,6,Lèi,Deveril,173-225-5446,ldeveril1h@netlog.com,94 8th Crossing,"Schamberger, Jast and Koch",Guayas,APROBADO,APROBADO,99,APROBADO
3/30/2024,4,Marie-françoise,Boatwright,316-900-0386,eboatwright1i@amazon.com,82 Northland Point,Streich-Bruen,Manabi,APROBADO,APROBADO,99,APROBADO
3/22/2024,8,Anaëlle,Arendsen,599-744-2373,aarendsen1j@uol.com.br,8 Little Fleur Hill,Daugherty-O'Conner,Manabi,APROBADO,DESAPROBADO,0,DESAPROBADO
12/2/2024,4,Josée,Barday,131-188-5551,abarday1k@npr.org,215 Donald Parkway,"McGlynn, Schulist and Renner",Azuay,DESAPROBADO,APROBADO,0,DESAPROBADO
10/17/2024,9,Loïca,Farnill,268-729-4747,afarnill1l@si.edu,644 Huxley Parkway,Ruecker LLC,Loja,APROBADO,APROBADO,96,APROBADO
5/20/2024,6,Irène,Seywood,289-601-8376,eseywood1m@scribd.com,4 Nancy Avenue,"Lakin, Jakubowski and Ortiz",Manabi,APROBADO,APROBADO,99,APROBADO
8/11/2024,9,Gaëlle,Bruyet,962-164-9328,ebruyet1n@over-blog.com,85 Bayside Terrace,Tillman-Denesik,Pichincha,APROBADO,DESAPROBADO,0,DESAPROBADO
6/28/2024,7,Maëlla,Getch,493-789-6612,agetch1o@imageshack.us,07047 Hallows Terrace,Johnston Group,Pichincha,APROBADO,APROBADO,96,APROBADO
12/23/2024,1,Yáo,Le Noir,768-987-2925,rlenoir1p@hhs.gov,3847 Briar Crest Circle,"Rodriguez, Mueller and Kuhic",Azuay,APROBADO,APROBADO,99,APROBADO
5/19/2024,4,Estée,Rouke,286-725-3692,trouke1q@prnewswire.com,38932 Dryden Park,"King, Oberbrunner and Howe",Loja,APROBADO,APROBADO,96,APROBADO
8/19/2024,6,Adélaïde,Cavey,699-394-4733,dcavey1r@hibu.com,69 Maple Wood Alley,Klein-D'Amore,Guayas,APROBADO,APROBADO,99,APROBADO
9/21/2024,2,Camélia,Schult,437-424-7024,fschult1s@dell.com,015 Shelley Avenue,Kling Group,Azuay,APROBADO,APROBADO,99,APROBADO
11/11/2024,4,Håkan,Jerrome,405-355-4415,ajerrome1t@ocn.ne.jp,4763 Lakewood Center,"Kunze, Bergstrom and Kub",Guayas,APROBADO,APROBADO,99,APROBADO
6/14/2024,6,Eloïse,Wivell,153-691-7846,ewivell1u@yale.edu,13431 Little Fleur Court,"Conn, Roob and Schowalter",Manabi,APROBADO,APROBADO,99,APROBADO
4/15/2024,4,Méline,Schenfisch,529-584-3411,tschenfisch1v@xinhuanet.com,697 Montana Drive,"Grady, Considine and Boyle",Manabi,APROBADO,APROBADO,96,APROBADO
3/18/2024,9,Anaé,Jenkinson,586-534-8586,ejenkinson1w@wired.com,763 Sloan Crossing,Rosenbaum Group,Guayas,APROBADO,APROBADO,96,APROBADO
8/6/2024,1,Aí,Whates,489-647-6083,mwhates1x@sina.com.cn,21 Comanche Way,"Gusikowski, Franecki and Mitchell",Pichincha,APROBADO,APROBADO,99,APROBADO
7/2/2024,7,Anaé,Malinson,111-982-2846,dmalinson1y@dailymail.co.uk,41409 Cardinal Alley,"Miller, McKenzie and Kuhlman",Manabi,APROBADO,APROBADO,96,APROBADO
10/22/2024,9,Athéna,Ashbrook,941-460-6658,sashbrook1z@networkadvertising.org,95900 Manufacturers Terrace,Cremin-Rau,Manabi,DESAPROBADO,APROBADO,0,DESAPROBADO
11/24/2024,6,Audréanne,Feltoe,305-259-1553,kfeltoe20@indiatimes.com,97007 Ludington Drive,"Weimann, Bahringer and Bergstrom",Guayas,APROBADO,DESAPROBADO,0,DESAPROBADO
8/8/2024,3,Michèle,Brade,454-657-2196,ubrade21@imageshack.us,27038 Mendota Place,Ullrich Group,Azuay,APROBADO,APROBADO,99,APROBADO
10/4/2024,7,Angélique,Thompson,822-502-7454,pthompson22@ow.ly,92 Debs Parkway,Collier Group,Azuay,APROBADO,APROBADO,99,APROBADO
8/22/2024,10,Noëlla,Rock,246-435-8616,rrock23@jalbum.net,0347 Dakota Court,Pacocha-Waters,Azuay,APROBADO,APROBADO,99,APROBADO
8/26/2024,5,Maïlis,Symes,536-682-6375,dsymes24@buzzfeed.com,27 Petterle Court,"Reilly, Schiller and Farrell",Azuay,APROBADO,APROBADO,99,APROBADO
10/13/2024,10,Bérangère,Astie,953-306-0529,pastie25@uiuc.edu,18 Little Fleur Plaza,Schmeler and Sons,Azuay,DESAPROBADO,APROBADO,0,DESAPROBADO
11/10/2024,1,Bérénice,Hollow,295-999-3061,ihollow26@reddit.com,974 Cody Pass,Harris-Bode,Pichincha,DESAPROBADO,APROBADO,0,DESAPROBADO
6/8/2024,10,Eugénie,Hampshaw,897-761-9949,ahampshaw27@biglobe.ne.jp,52 Victoria Hill,"Hahn, West and Senger",Pichincha,APROBADO,APROBADO,99,APROBADO
5/25/2024,8,Tán,Klamp,778-823-2023,vklamp28@epa.gov,83 Toban Hill,Mayer-Schiller,Loja,APROBADO,APROBADO,96,APROBADO
10/30/2024,8,Yáo,Safell,608-265-7088,jsafell29@chicagotribune.com,8004 Shasta Street,"Will, Medhurst and Green",Pichincha,APROBADO,APROBADO,99,APROBADO
4/2/2024,9,Marylène,Ishaki,594-374-5707,lishaki2a@cpanel.net,1139 Grayhawk Road,Hudson-Okuneva,Guayas,APROBADO,APROBADO,99,APROBADO
4/5/2024,5,Camélia,Clarycott,893-712-4298,qclarycott2b@1und1.de,21287 Holmberg Lane,"O'Connell, Will and Fadel",Manabi,APROBADO,APROBADO,96,APROBADO
12/16/2024,5,Amélie,Todhunter,218-986-9459,itodhunter2c@state.tx.us,93 Homewood Lane,Steuber-Mayer,Loja,APROBADO,APROBADO,99,APROBADO
5/1/2024,7,Béatrice,Laxen,706-513-5330,elaxen2d@bandcamp.com,83706 Saint Paul Court,Smith-Kling,Guayas,APROBADO,APROBADO,99,APROBADO
10/6/2024,4,Zhì,Gyrgorcewicx,376-160-3318,ogyrgorcewicx2e@deliciousdays.com,68 Scott Center,Emard Inc,Loja,DESAPROBADO,DESAPROBADO,0,DESAPROBADO
4/23/2024,3,Frédérique,Langer,719-183-1943,alanger2f@artisteer.com,6059 Morningstar Point,Waters-Weissnat,Loja,APROBADO,APROBADO,99,APROBADO
11/15/2024,9,Angélique,Longhirst,340-691-9487,elonghirst2g@prnewswire.com,1 High Crossing Place,Collins LLC,Pichincha,APROBADO,APROBADO,99,APROBADO
3/7/2024,5,Aimée,Aldham,278-739-3916,haldham2h@thetimes.co.uk,69 Prairie Rose Junction,Boyle Inc,Azuay,APROBADO,APROBADO,99,APROBADO
8/18/2024,5,Eléonore,Antwis,520-299-3685,fantwis2i@tripod.com,6 Canary Center,Kreiger and Sons,Manabi,APROBADO,APROBADO,99,APROBADO
4/24/2024,10,Néhémie,Grote,896-655-8205,egrote2j@sohu.com,6 Sugar Point,"Carroll, Effertz and Smitham",Loja,APROBADO,DESAPROBADO,0,DESAPROBADO
9/24/2024,3,Ráo,Kaasman,549-207-2069,kkaasman2k@usnews.com,8355 Schurz Avenue,Boyle-Collins,Pichincha,APROBADO,APROBADO,99,APROBADO
12/9/2024,10,Mélinda,Stuart,235-523-9898,dstuart2l@hexun.com,61 Blue Bill Park Pass,"Morissette, Volkman and Nienow",Pichincha,APROBADO,APROBADO,96,APROBADO
9/13/2024,6,Maëlyss,Corgenvin,309-266-8892,rcorgenvin2m@mlb.com,2395 Quincy Drive,Swaniawski-Ondricka,Loja,APROBADO,APROBADO,96,APROBADO
12/8/2024,4,Adélie,Merrikin,526-762-5921,lmerrikin2n@mail.ru,907 Donald Alley,Considine Group,Azuay,APROBADO,APROBADO,99,APROBADO
4/26/2024,7,Bérénice,Schukraft,300-227-7357,bschukraft2o@fastcompany.com,13307 Sutteridge Lane,Yost Inc,Pichincha,APROBADO,APROBADO,99,APROBADO
3/19/2024,8,Dù,Turvey,718-718-3538,eturvey2p@altervista.org,4 Florence Lane,Mayer Group,Guayas,APROBADO,DESAPROBADO,0,DESAPROBADO
3/23/2024,10,Eugénie,Adame,276-281-2096,radame2q@macromedia.com,6 Vera Court,"McGlynn, Herzog and O'Kon",Pichincha,APROBADO,APROBADO,99,APROBADO
4/5/2024,4,Vénus,Hebard,210-965-8448,bhebard2r@phpbb.com,5 Sutherland Pass,Zboncak Inc,Pichincha,APROBADO,APROBADO,96,APROBADO
6/20/2024,6,Loïc,Charlson,671-207-8426,ocharlson2s@mayoclinic.com,8511 Loftsgordon Way,Ernser-Howe,Pichincha,APROBADO,APROBADO,99,APROBADO
8/15/2024,1,Illustrée,Swindells,819-211-2188,mswindells2t@goodreads.com,768 Helena Hill,Tremblay-Maggio,Guayas,APROBADO,APROBADO,99,APROBADO
6/1/2024,5,Ophélie,Gasnoll,443-979-3201,xgasnoll2u@opera.com,683 Waubesa Street,Abernathy-Harris,Loja,APROBADO,DESAPROBADO,0,DESAPROBADO
4/10/2024,10,Maëlys,Berge,635-263-2694,sberge2v@ycombinator.com,00 Troy Alley,Thiel-Nikolaus,Azuay,APROBADO,APROBADO,99,APROBADO
12/23/2024,6,Célestine,Headford,914-388-5392,bheadford2w@jugem.jp,7723 Arrowood Park,Beahan-Rogahn,Pichincha,APROBADO,APROBADO,99,APROBADO
5/17/2024,9,Håkan,Suston,498-759-8836,asuston2x@clickbank.net,4 Sugar Court,"Rogahn, Kutch and Padberg",Guayas,APROBADO,APROBADO,96,APROBADO
4/30/2024,2,Géraldine,Sellek,352-394-0867,fsellek2y@goo.gl,39 Hollow Ridge Drive,Kiehn Group,Manabi,APROBADO,APROBADO,99,APROBADO
5/26/2024,1,Yóu,Walsh,167-175-7250,cwalsh2z@amazon.co.uk,636 Clarendon Terrace,"VonRueden, Paucek and McGlynn",Manabi,APROBADO,APROBADO,96,APROBADO
9/9/2024,4,Pål,Dorr,197-511-7010,mdorr30@list-manage.com,214 Kingsford Terrace,"Herzog, Schimmel and Wyman",Azuay,APROBADO,APROBADO,99,APROBADO
11/26/2024,7,Nélie,Hawkslee,262-870-6447,ahawkslee31@cdc.gov,57923 Clove Lane,"Jast, Bechtelar and Heidenreich",Azuay,APROBADO,APROBADO,99,APROBADO
10/18/2024,10,Séréna,Bearman,159-242-0463,abearman32@unc.edu,4854 Banding Place,Bahringer-Howell,Guayas,APROBADO,APROBADO,96,APROBADO
9/6/2024,8,Naëlle,Tuerena,402-621-3173,mtuerena33@gizmodo.com,6104 Utah Alley,"Koss, Osinski and Conroy",Azuay,APROBADO,APROBADO,99,APROBADO
10/8/2024,8,Mén,Ellacott,628-519-2457,jellacott34@netlog.com,88 Eagle Crest Trail,"Kovacek, Armstrong and Hoppe",Guayas,APROBADO,APROBADO,96,APROBADO
5/25/2024,2,Mahélie,Francillo,895-570-8047,efrancillo35@zdnet.com,91 Chinook Road,McKenzie-Huels,Guayas,APROBADO,APROBADO,99,APROBADO
10/20/2024,4,Séverine,Sarfat,522-847-3660,ksarfat36@clickbank.net,4 Shelley Place,Shanahan Inc,Guayas,APROBADO,APROBADO,96,APROBADO
8/11/2024,5,Dù,Piechnik,629-818-0253,bpiechnik37@oaic.gov.au,57 Petterle Lane,Pfeffer-Huel,Guayas,APROBADO,DESAPROBADO,0,DESAPROBADO
3/6/2024,4,Rébecca,Timby,832-966-0637,ltimby38@google.nl,6334 Pleasure Hill,Weber Inc,Loja,APROBADO,APROBADO,99,APROBADO
3/12/2024,10,Méryl,Skinley,310-103-0594,cskinley39@miitbeian.gov.cn,09 Superior Road,Kuhn LLC,Loja,APROBADO,DESAPROBADO,0,DESAPROBADO
4/21/2024,4,Yóu,Angier,693-675-1556,langier3a@howstuffworks.com,93 Jenna Center,Rosenbaum-Leannon,Manabi,APROBADO,APROBADO,99,APROBADO
3/27/2024,8,Danièle,Harfoot,245-977-6974,jharfoot3b@newsvine.com,3 Longview Way,"Price, Windler and Schmitt",Guayas,APROBADO,APROBADO,99,APROBADO
9/25/2024,5,Almérinda,Burd,347-135-9575,lburd3c@photobucket.com,339 Corben Crossing,Parker-Zieme,Azuay,APROBADO,APROBADO,99,APROBADO
9/3/2024,4,Intéressant,Yurin,276-418-8521,syurin3d@weibo.com,99488 Anniversary Avenue,Bins Inc,Azuay,APROBADO,DESAPROBADO,0,DESAPROBADO
1/1/2025,7,Eloïse,Sickling,417-194-3442,tsickling3e@liveinternet.ru,9400 Petterle Court,Ortiz Inc,Azuay,APROBADO,APROBADO,96,APROBADO
5/10/2024,2,Annotés,Seabon,502-229-8726,bseabon3f@springer.com,9 Mesta Alley,Berge Group,Manabi,DESAPROBADO,APROBADO,0,DESAPROBADO
12/3/2024,1,Léane,Swinden,182-731-4231,eswinden3g@ebay.com,20 Reinke Center,Hane and Sons,Azuay,APROBADO,APROBADO,99,APROBADO
12/30/2024,6,Gaëlle,Parsonson,746-389-3414,lparsonson3h@wufoo.com,2361 Saint Paul Drive,Prohaska LLC,Manabi,APROBADO,APROBADO,96,APROBADO
12/27/2024,8,Andrée,Rudeyeard,388-162-0240,grudeyeard3i@nyu.edu,4076 Nobel Hill,Bernhard LLC,Pichincha,DESAPROBADO,APROBADO,0,DESAPROBADO
5/13/2024,2,Lèi,Rigardeau,334-477-8802,mrigardeau3j@wufoo.com,170 Vidon Lane,Ryan-Kilback,Azuay,APROBADO,APROBADO,99,APROBADO
5/14/2024,8,Célia,MacIlriach,533-496-4218,lmacilriach3k@smh.com.au,116 Kipling Parkway,"Monahan, Treutel and Fadel",Loja,APROBADO,APROBADO,99,APROBADO
7/28/2024,10,Clémentine,Corneck,223-236-2687,tcorneck3l@hhs.gov,76299 Anzinger Drive,Fay LLC,Manabi,DESAPROBADO,APROBADO,0,DESAPROBADO
5/30/2024,8,Yè,Roney,332-487-3760,rroney3m@dailymail.co.uk,6178 Oak Valley Street,Upton LLC,Azuay,APROBADO,APROBADO,99,APROBADO
7/14/2024,8,Nélie,Kroin,759-316-0535,hkroin3n@patch.com,3 Arizona Trail,Bashirian-Pagac,Pichincha,DESAPROBADO,APROBADO,0,DESAPROBADO
11/16/2024,6,Görel,Murie,118-300-0292,imurie3o@narod.ru,84188 Emmet Road,"Herman, Klein and Waters",Manabi,APROBADO,APROBADO,99,APROBADO
9/4/2024,8,Vénus,Zuppa,492-489-5488,ezuppa3p@rediff.com,9 Morning Point,Borer Inc,Azuay,APROBADO,APROBADO,96,APROBADO
8/1/2024,4,Clémence,Bayston,467-319-7419,sbayston3q@so-net.ne.jp,40538 Main Court,O'Reilly-Ruecker,Guayas,APROBADO,APROBADO,99,APROBADO
8/15/2024,7,Estève,Elstone,319-414-1297,lelstone3r@merriam-webster.com,49678 Golden Leaf Crossing,Dickinson Inc,Manabi,APROBADO,APROBADO,99,APROBADO
5/14/2024,9,Anaëlle,Veljes,477-325-8441,mveljes3s@google.pl,5600 Oak Valley Crossing,"Rice, Purdy and Okuneva",Manabi,APROBADO,APROBADO,99,APROBADO
11/21/2024,4,Åke,Luto,497-159-1520,bluto3t@php.net,816 Memorial Place,"Jaskolski, Quitzon and Hammes",Pichincha,APROBADO,APROBADO,99,APROBADO
5/29/2024,4,Tú,Bodesson,263-211-0081,bbodesson3u@imgur.com,191 Killdeer Junction,"Emard, Torphy and Bradtke",Guayas,APROBADO,APROBADO,96,APROBADO
11/5/2024,5,Anaé,Stobart,144-483-8880,cstobart3v@cnet.com,404 Prentice Lane,Quitzon-Lebsack,Guayas,APROBADO,APROBADO,96,APROBADO
12/27/2024,1,Mélissandre,Neasham,608-752-2047,cneasham3w@mac.com,81 Marquette Pass,Huels Inc,Manabi,APROBADO,APROBADO,99,APROBADO
8/13/2024,3,Maëlyss,Josephsen,611-850-9350,sjosephsen3x@state.gov,3 Crest Line Road,"Jaskolski, McLaughlin and O'Kon",Manabi,APROBADO,APROBADO,99,APROBADO
6/9/2024,1,Océane,Riccardi,158-855-6960,ariccardi3y@europa.eu,5739 Hooker Court,Balistreri-Spinka,Azuay,APROBADO,APROBADO,96,APROBADO
4/21/2024,10,Cléa,Taile,131-789-0909,btaile3z@berkeley.edu,9592 Summerview Place,"Murphy, Rolfson and Gibson",Pichincha,APROBADO,DESAPROBADO,0,DESAPROBADO
3/26/2024,5,Maëlyss,Tollady,754-626-4417,dtollady40@si.edu,060 Paget Drive,Rodriguez-Veum,Pichincha,APROBADO,APROBADO,99,APROBADO
5/29/2024,2,Maï,McSporon,222-962-7113,rmcsporon41@theatlantic.com,14540 Tomscot Park,Hamill Inc,Guayas,APROBADO,APROBADO,96,APROBADO
12/3/2024,1,Faîtes,Hollyland,544-976-6335,mhollyland42@people.com.cn,47265 Warrior Circle,"Hane, Smitham and Lakin",Pichincha,APROBADO,APROBADO,96,APROBADO
8/8/2024,2,Zoé,Piscot,135-253-7256,opiscot43@abc.net.au,1 Thompson Center,Grady Group,Loja,APROBADO,APROBADO,99,APROBADO
6/11/2024,9,Mahélie,Elcy,636-678-6849,selcy44@delicious.com,60585 Vermont Circle,Thompson LLC,Guayas,APROBADO,DESAPROBADO,0,DESAPROBADO
12/16/2024,4,Cléa,Patridge,739-440-5813,ppatridge45@mail.ru,32 Summer Ridge Pass,"Watsica, Gerhold and Kuvalis",Pichincha,APROBADO,DESAPROBADO,0,DESAPROBADO
9/12/2024,9,Eléonore,Keatley,500-235-1524,skeatley46@php.net,626 Talisman Court,Schmitt Group,Manabi,APROBADO,APROBADO,99,APROBADO
8/19/2024,8,Naëlle,Parysowna,467-428-9895,nparysowna47@jiathis.com,74 Michigan Trail,White and Sons,Loja,APROBADO,APROBADO,99,APROBADO
5/6/2024,3,Aí,Matas,111-835-1425,mmatas48@netlog.com,7 Iowa Center,Walsh-O'Hara,Loja,APROBADO,APROBADO,99,APROBADO
7/19/2024,4,Bérengère,Derycot,812-503-6999,cderycot49@bloglines.com,93 Oriole Terrace,Breitenberg LLC,Manabi,APROBADO,APROBADO,96,APROBADO
